mzp,mzp,mdm,ms,obs,exp_p2,exp_p1,exp,exp_m1,exp_m2,obs_conference,exp_conference
311378,500,200,50,0.14,0.15,0.11,0.08,0.06,0.04,0.28,0.21
311379,1000,200,50,0.12,0.14,0.1,0.07,0.05,0.04,0.21,0.18
311380,1500,200,50,0.26,0.25,0.19,0.14,0.1,0.07,0.33,0.26
311381,2000,200,50,0.49,0.5,0.38,0.27,0.19,0.14,0.77,0.55
311382,2500,200,50,1.14,1.14,0.85,0.61,0.44,0.33,1.75,1.188
311383,3000,200,50,2.02,2.1,1.56,1.12,0.81,0.6,3.68,2.59
311384,500,200,70,0.04,0.11,0.08,0.06,0.04,0.03,0.11,0.13
311385,1000,200,70,0.04,0.09,0.07,0.05,0.04,0.03,0.087,0.1
311386,1500,200,70,0.08,0.17,0.13,0.09,0.07,0.05,0.13,0.17
311387,2000,200,70,0.19,0.31,0.23,0.17,0.12,0.09,0.24,0.27
311388,2500,200,70,0.43,0.6,0.45,0.32,0.23,0.17,0.5,0.56
311389,3000,200,70,1,1.33,0.99,0.71,0.51,0.38,1.14,1.25
311390,500,200,90,0.05,0.13,0.1,0.07,0.05,0.04,0.12,0.13
311391,1000,200,90,0.04,0.11,0.08,0.06,0.04,0.03,0.073,0.098
311392,1500,200,90,0.07,0.18,0.13,0.1,0.07,0.05,0.11,0.16
311393,2000,200,90,0.15,0.33,0.25,0.18,0.13,0.1,0.14,0.26
311394,2500,200,90,0.37,0.69,0.51,0.37,0.26,0.2,0.28,0.53
311395,3000,200,90,0.94,1.55,1.16,0.83,0.6,0.45,0.59,1.21
311396,500,200,110,0.06,0.12,0.09,0.06,0.05,0.03,0.1,0.13
311397,1000,200,110,0.04,0.1,0.07,0.05,0.04,0.03,0.06,0.1
311398,1500,200,110,0.13,0.3,0.22,0.16,0.11,0.08,0.087,0.14
311399,2000,200,110,0.15,0.29,0.21,0.15,0.11,0.08,0.16,0.27
311400,2500,200,110,0.33,0.62,0.46,0.33,0.24,0.18,0.32,0.56
311401,3000,200,110,0.73,1.37,1.02,0.74,0.53,0.39,0.68,1.22
312356,3500,200,50,4.75,4.81,3.59,2.58,1.86,1.38,9.74,6.44
312357,3500,200,70,2.26,2.8,2.09,1.5,1.08,0.81,2.6,2.74
312358,3500,200,90,2.18,3.5,2.61,1.87,1.35,1.01,1.43,2.88
312359,3500,200,110,1.8,3.13,2.33,1.68,1.21,0.9,1.62,2.94
312360,500,200,130,0.11,0.17,0.12,0.09,0.06,0.05,0.22,0.18
312361,1000,200,130,0.09,0.14,0.1,0.07,0.05,0.04,0.19,0.14
312362,1500,200,130,0.11,0.18,0.13,0.1,0.07,0.05,0.21,0.19
312363,2000,200,130,0.24,0.36,0.27,0.19,0.14,0.1,0.34,0.33
312364,2500,200,130,0.47,0.72,0.54,0.39,0.28,0.21,0.64,0.67
312365,3000,200,130,1.2,1.78,1.33,0.95,0.69,0.51,1.49,1.7
312366,500,200,150,0.24,0.4,0.3,0.22,0.16,0.12,0.55,0.41
312367,1000,200,150,0.19,0.33,0.25,0.18,0.13,0.1,0.44,0.33
312368,1500,200,150,0.25,0.41,0.31,0.22,0.16,0.12,0.44,0.4
312369,2000,200,150,0.52,0.85,0.63,0.45,0.33,0.24,0.77,0.74
312370,2500,200,150,1.2,1.86,1.39,1,0.72,0.53,1.5,1.52
312371,3000,200,150,2.88,4.42,3.3,2.37,1.71,1.27,3.61,3.63
312372,3500,200,150,6.58,10.22,7.63,5.48,3.95,2.94,8.3,8.59
312373,3500,200,130,2.69,3.91,2.91,2.09,1.51,1.12,3.32,3.5
