,mzp,mdm,ms,gx,gq,sensitivity
0,3500.0,200.0,50.0,1.0,0.25,0.0195502231393
1,3500.0,200.0,130.0,1.0,0.25,0.193659149415
2,3000.0,200.0,50.0,1.0,0.25,0.0725072881306
3,3000.0,200.0,70.0,1.0,0.25,0.307902371479
4,3000.0,200.0,110.0,1.0,0.25,0.622560674429
5,3000.0,200.0,90.0,1.0,0.25,0.509905380328
6,1500.0,200.0,130.0,1.0,0.25,9.9272910632
7,1500.0,200.0,150.0,1.0,0.25,4.45527196623
8,1500.0,200.0,90.0,1.0,0.25,11.916095921
9,1500.0,200.0,110.0,1.0,0.25,12.8319000712
10,1500.0,200.0,50.0,1.0,0.25,2.39569639347
11,1500.0,200.0,70.0,1.0,0.25,7.10539726243
12,1000.0,200.0,130.0,1.0,0.25,15.8420519478
13,1000.0,200.0,150.0,1.0,0.25,7.06852699105
14,3500.0,200.0,90.0,1.0,0.25,0.185682371507
15,3000.0,200.0,130.0,1.0,0.25,0.541600714104
16,2000.0,200.0,50.0,1.0,0.25,0.598898344565
17,2000.0,200.0,70.0,1.0,0.25,2.49622316627
18,2500.0,200.0,150.0,1.0,0.25,0.587892558977
19,3500.0,200.0,70.0,1.0,0.25,0.107393361263
20,2500.0,200.0,130.0,1.0,0.25,1.43809026998
21,3500.0,200.0,150.0,1.0,0.25,0.0815552794599
22,3500.0,200.0,110.0,1.0,0.25,0.233100283211
23,3000.0,200.0,150.0,1.0,0.25,0.208161208796
24,2000.0,200.0,150.0,1.0,0.25,1.76107232917
25,2000.0,200.0,130.0,1.0,0.25,4.14883982886
26,500.0,200.0,150.0,1.0,0.25,5.41247326391
27,500.0,200.0,130.0,1.0,0.25,15.087599435
28,1000.0,200.0,70.0,1.0,0.25,13.2393184301
29,1000.0,200.0,50.0,1.0,0.25,4.9857164077
30,500.0,200.0,70.0,1.0,0.25,13.2863467895
31,500.0,200.0,50.0,1.0,0.25,4.34326506433
32,500.0,200.0,110.0,1.0,0.25,20.1937238455
33,500.0,200.0,90.0,1.0,0.25,17.4039800984
34,2500.0,200.0,110.0,1.0,0.25,1.73817446006
35,2500.0,200.0,90.0,1.0,0.25,1.56908978944
36,2500.0,200.0,70.0,1.0,0.25,0.895631524581
37,2500.0,200.0,50.0,1.0,0.25,0.263798502701
38,1000.0,200.0,110.0,1.0,0.25,21.9861188054
39,1000.0,200.0,90.0,1.0,0.25,20.9772834847
40,2000.0,200.0,110.0,1.0,0.25,4.61785017559
41,2000.0,200.0,90.0,1.0,0.25,4.08784199966
